RESEARCH_REPORT_ID,RECORD_ID,TITLE,CONTENT,SENTIMENT_CLASSIFY,HALF_POSITIVE_PROBABILITY,POSITIVE_PROBABILITY,NEGATIVE_PROBABILITY,NEUTRAL_PROBABILITY,SENTIMENT_SCORE
1730016,1,Key risks to rating,? The channel was not well developed and the progress of Klip was not up to expectations.,-2,0.04,0.1,0.72,0.14,-1
1363098,0,"The company's third quarterly report released net profit still fell sharply, basically in line with market expectations","Xu Ji Electric announced the 2015 third quarter report. In the first three quarters of 2015, it achieved operating income of 3.428 billion yuan, down 31.65% year-on-year. The net profit attributable to shareholders of the parent company was 165 million yuan, down 72.15% year-on-year, and EPS was 0.16. For the single quarter of the third quarter of 2015, the operating income was 1.248 billion yuan, down 29.02% year-on-year. Compared with the second quarter of this year, it was down 8.57% from the previous quarter; the net profit was 90 million yuan, down 67.89% year-on-year, and the chain growth was 38.46. %, EPS is 0.16. The decrease in operating income was mainly due to the decrease in revenue recognition of major engineering projects. The company forecast that the net profit for the first three quarters will fall by 60%-80%, which is basically in line with expectations.",-2,0.04,0.43,0.51,0.02,-1
537904,0,The reason for the decline in the company’s operating income is the change in scope of consolidation.,"The company sold 50% of the shares of Liaoning Nanpiao Coal and Electricity Co., Ltd. in 10 years. This year, Nanbu Company did not include the merger, resulting in a decrease in revenue.",-2,0.02,0.03,0.51,0.44,-0.99
538086,1,Inflation transmission affects gross profit margin or hidden worry,"Affected by inflation factors such as rising raw material prices, energy and labor costs, the company's gross profit margin decreased by 2.87 percentage points year-on-year to 62.16%. In the first quarter, the price of Chinese herbal medicines continued to rise since last year. It is obvious that relying solely on inventory can not completely solve the pressure of production costs, or it will continue to exert pressure on the company's gross profit margin.",-2,0.05,0.28,0.53,0.15,-0.99
577931,5,Risk of price changes in steel and raw materials,The price of raw materials such as iron ore and coke has a direct impact on the changes in steel costs. The large fluctuations in steel prices can also lead to unexpected changes in the profitability of the industry or the company.,-2,0.15,0.01,0.71,0.13,-0.99
2074552,0,"The sales expense ratio increased year-on-year, and the decline in gross profit margin and net interest rate led to a decline in performance growth.","From January to September 2017, the company's gross profit margin and net profit margin were 64.48% and 27.88%, respectively, and the gross profit margin and net interest rate levels all declined. The slight decrease in gross profit margin was due to a slight change in the product structure; the decrease in net interest rate was the reason for the increase in costs.",-2,0.09,0.15,0.68,0.09,-0.99
721566,2,Multiple factors affect performance,"From January to September, the company's operating cost growth rate was faster than revenue growth of more than 3 percentage points, and gross profit margin dropped slightly to 23.4%. The cost of jet fuel increased by RMB8.1 billion year-on-year due to factors such as rising oil prices. The gains from changes in fair value decreased by 1.02 billion yuan due to factors such as the reduction in the size of oil hedging; the decline in profits of Cathay Pacific caused investment income to fall by 1.56 billion yuan; the impairment loss of fixed assets increased by 308%, and the minority shareholder equity factor was restructured by Air China Cargo. Increased by 53.7 times. On the other hand, due to the appreciation of the local currency in the first three quarters, the company's foreign exchange gains increased by 1.33 billion yuan.",-2,0.07,0.3,0.57,0.07,-0.98
699373,0,Company earnings are slightly lower than our expectations,"The company's revenue growth in 2010 was basically in line with our expectations, but earnings were slightly lower than our expectations. We believe that the main reason is that the gross profit margin is lower than expected. Among them, the gross profit margin of membrane sales decreased from 63.39% in January-June 2010 to 42.77%, which was significantly lower than our expectation.",-2,0.01,0.43,0.52,0.04,-0.98
1959141,0,"Shanghai Electric Power released its 2016 annual report, net profit fell 31.22","Shanghai today released its 2016 annual report. The company achieved operating income of 16.046 billion yuan in 2016, down 5.64% year-on-year; net profit attributable to shareholders of listed companies was 916 million yuan, down 31.22% year-on-year. The EPS was 0.4283 yuan, down 31.22% year-on-year; the weighted average ROE was 8.77%, a decrease of 4.54 percentage points year-on-year.",-2,0.06,0.25,0.52,0.17,-0.98
2063135,2,Properly controlled expenses during the period,"The company's 2017H1 sales expenses decreased by 22.93% year-on-year to 68.37 million yuan, mainly due to the company's loss of shirt retail terminal Beijing Sitron (the company holds 75%) in the second half of the year, and the corresponding terminal shopping mall costs have been reduced, the sales expense ratio Compared with the same period of last year, it decreased by 0.84 PCT to 2.29%; administrative expenses decreased by 8.57% to 312 million yuan, and the administrative expense ratio was 10.45%, down 1.62 PCT from the same period of last year; financial expenses increased by 54.94% to 30.7 million yuan due to the increase in interest expenses. The financial expense ratio increased by 0.33 PCT to 1.03% from the same period of the previous year. The overall expense ratio decreased by 2.14 PCT to 13.76% from the same period of the previous year.",-2,0.15,0,0.64,0.21,-0.98
